Position,EPC,σ(PC),V(R),R-L,L-M,M-H,Description
0003660,57.07,8.53,0.64,0.72,0.94,1.28,Rollish
0003705,42.25,8.32,0.71,0.53,0.65,0.91,Medium
0003714,44.25,7.6,0.52,0.56,0.69,0.96,Rollish
0003723,45.24,8.35,0.69,0.57,0.70,0.98,Low
0003732,50.48,8.03,0.57,0.64,0.81,1.11,Rollish
0003741,50.99,8.08,0.58,0.64,0.82,1.12,Rollish
0003750,57.14,8.54,0.64,0.72,0.94,1.28,Rollish
0003804,45.23,8.36,0.69,0.57,0.70,0.98,Low
0003813,47.3,9.09,0.87,0.60,0.75,1.03,Medium
0003822,50.97,8.1,0.58,0.64,0.82,1.12,Rollish
0003831,51.66,8.42,0.65,0.65,0.83,1.14,Rollish
0003840,57.31,8.6,0.66,0.72,0.95,1.28,Rollish
0003903,49.88,8.86,0.78,0.63,0.80,1.10,Low
0003912,51.65,8.43,0.66,0.65,0.83,1.14,Low
0003921,52.9,9.21,0.85,0.67,0.86,1.17,Low
0003930,57.69,8.66,0.67,0.73,0.95,1.29,Rollish
0003A02,52.9,9.21,0.85,0.67,0.86,1.17,Low
0003A11,55.09,9.72,0.98,0.70,0.90,1.23,Medium
0003A20,58.28,8.78,0.7,0.74,0.97,1.31,Rollish
0003B01,57.47,9.39,0.87,0.73,0.95,1.29,Low
0003B10,59.13,9.22,0.81,0.75,0.98,1.33,Low
0003C00,60.6,9.95,1.01,0.77,1.01,1.37,Low
000400B,21.01,6.65,0.5,0.26,0.22,0.38,High
000401A,23.85,5.87,0.33,0.29,0.28,0.45,Medium
0004029,26.44,7.05,0.54,0.33,0.33,0.51,High
0004038,30.57,6.55,0.4,0.38,0.41,0.61,Low
0004047,33.15,7.66,0.62,0.41,0.46,0.68,Medium
0004056,37.35,7.28,0.5,0.47,0.55,0.78,Low
0004065,40.03,8.31,0.72,0.50,0.60,0.85,Medium
0004074,44.33,7.9,0.59,0.56,0.69,0.96,Low
0004083,47.01,8.87,0.81,0.59,0.74,1.03,Medium
0004092,51.32,8.49,0.68,0.65,0.83,1.13,Low
00040A1,54.01,9.4,0.9,0.68,0.88,1.20,Medium
00040B0,58.32,9.04,0.76,0.74,0.97,1.31,Low
000410A,24.17,6.16,0.38,0.30,0.28,0.45,Medium
0004119,25.39,6.9,0.51,0.31,0.31,0.48,High
0004128,30.01,5.97,0.3,0.37,0.40,0.60,Rollish
0004137,31.35,6.81,0.45,0.39,0.43,0.63,Medium
0004146,36.69,6.72,0.39,0.46,0.53,0.77,Rollish
0004155,37.97,7.58,0.56,0.48,0.56,0.80,Medium
0004164,43.59,7.39,0.47,0.55,0.67,0.94,Rollish
0004173,44.86,8.18,0.65,0.56,0.70,0.97,Low
0004182,50.57,8.02,0.56,0.64,0.81,1.11,Rollish
0004191,51.84,8.76,0.74,0.65,0.84,1.15,Low
00041A0,57.56,8.59,0.65,0.73,0.95,1.29,Rollish
0004209,27.35,7.12,0.54,0.34,0.35,0.53,High
0004218,30.23,5.98,0.3,0.38,0.40,0.61,Rollish
0004227,30.96,6.6,0.41,0.39,0.42,0.62,Low
0004236,36.71,6.63,0.37,0.46,0.53,0.77,Rollish
0004245,37.36,6.92,0.42,0.47,0.55,0.78,Rollish
0004254,43.51,7.29,0.45,0.55,0.67,0.94,Rollish
0004263,44.01,7.6,0.52,0.55,0.68,0.95,Rollish
0004272,50.48,7.93,0.54,0.64,0.81,1.11,Rollish
0004281,50.94,8.2,0.61,0.64,0.82,1.12,Rollish
0004290,57.46,8.51,0.63,0.73,0.95,1.29,Rollish
0004308,30.58,6.54,0.4,0.38,0.41,0.61,Low
0004317,32.19,7.34,0.55,0.40,0.44,0.65,Medium
0004326,36.75,6.67,0.38,0.46,0.54,0.77,Rollish
0004335,37.48,6.73,0.38,0.47,0.55,0.79,Rollish
0004344,43.35,7.34,0.47,0.54,0.67,0.93,Rollish
0004353,43.9,7.36,0.47,0.55,0.68,0.95,Rollish
0004362,50.27,7.95,0.55,0.63,0.81,1.11,Rollish
0004371,50.68,7.95,0.55,0.64,0.81,1.12,Rollish
0004380,57.24,8.55,0.64,0.72,0.94,1.28,Rollish
0004407,34.77,7.76,0.63,0.43,0.50,0.72,Medium
0004416,37.06,6.79,0.4,0.46,0.54,0.78,Rollish
0004425,37.94,7.38,0.52,0.47,0.56,0.80,Low
0004434,43.43,7.36,0.47,0.55,0.67,0.94,Rollish
0004443,44.04,7.38,0.47,0.55,0.68,0.95,Rollish
0004452,50.17,7.96,0.55,0.63,0.80,1.10,Rollish
0004461,50.54,7.98,0.56,0.64,0.81,1.11,Rollish
0004470,57.12,8.54,0.64,0.72,0.94,1.28,Rollish
0004506,37.78,7.41,0.53,0.47,0.56,0.79,Low
0004515,39.61,8.33,0.73,0.50,0.59,0.84,Medium
0004524,43.76,7.39,0.47,0.55,0.68,0.94,Rollish
0004533,44.39,7.59,0.51,0.56,0.69,0.96,Rollish
0004542,50.23,7.98,0.56,0.63,0.80,1.11,Rollish
0004551,50.63,8.03,0.57,0.64,0.81,1.12,Rollish
0004560,57.1,8.53,0.64,0.72,0.94,1.28,Rollish
0004605,42.3,8.32,0.7,0.53,0.65,0.91,Medium
0004614,44.29,7.59,0.51,0.56,0.69,0.96,Rollish
0004623,45.29,8.35,0.69,0.57,0.71,0.98,Low
0004632,50.51,8.02,0.57,0.64,0.81,1.11,Rollish
0004641,51.03,8.08,0.58,0.64,0.82,1.13,Rollish
0004650,57.16,8.53,0.64,0.72,0.94,1.28,Rollish
0004704,45.27,8.36,0.69,0.57,0.71,0.98,Low
0004713,47.33,9.07,0.86,0.60,0.75,1.03,Medium
0004722,50.99,8.09,0.58,0.64,0.82,1.12,Rollish
0004731,51.69,8.41,0.65,0.65,0.83,1.14,Rollish
0004740,57.32,8.59,0.65,0.72,0.95,1.28,Rollish
0004803,49.9,8.85,0.78,0.63,0.80,1.10,Low
0004812,51.67,8.42,0.66,0.65,0.83,1.14,Low
0004821,52.92,9.2,0.85,0.67,0.86,1.17,Low
0004830,57.7,8.65,0.67,0.73,0.95,1.29,Rollish
0004902,52.91,9.2,0.85,0.67,0.86,1.17,Low
0004911,55.1,9.71,0.98,0.70,0.90,1.23,Medium
0004920,58.29,8.77,0.69,0.74,0.97,1.31,Rollish
0004A01,57.48,9.39,0.87,0.73,0.95,1.29,Low
0004A10,59.14,9.21,0.81,0.75,0.98,1.33,Low
0004B00,60.61,9.95,1.01,0.77,1.01,1.37,Low
000500A,25.39,6.9,0.51,0.31,0.31,0.48,High
0005019,27.69,7.44,0.61,0.34,0.35,0.54,High
0005028,31.35,6.81,0.45,0.39,0.43,0.63,Medium
0005037,34.03,7.79,0.64,0.42,0.48,0.70,Medium
0005046,37.97,7.58,0.56,0.48,0.56,0.80,Medium
0005055,40.76,8.49,0.76,0.51,0.62,0.87,Medium
0005064,44.86,8.18,0.65,0.56,0.70,0.97,Low
0005073,47.7,9.04,0.85,0.60,0.75,1.04,Medium
0005082,51.84,8.76,0.74,0.65,0.84,1.15,Low
0005091,54.68,9.57,0.94,0.69,0.89,1.22,Medium
00050A0,58.83,9.29,0.83,0.74,0.98,1.32,Low
0005109,28.31,7.34,0.58,0.35,0.37,0.56,High
0005118,30.9,6.55,0.4,0.38,0.42,0.62,Low
0005127,32.41,7.47,0.58,0.40,0.45,0.66,Medium
0005136,37.29,6.95,0.43,0.47,0.55,0.78,Rollish
0005145,38.86,7.85,0.62,0.49,0.58,0.82,Medium
0005154,43.99,7.6,0.52,0.55,0.68,0.95,Rollish
0005163,45.56,8.5,0.72,0.57,0.71,0.99,Medium
0005172,50.94,8.2,0.61,0.64,0.82,1.12,Rollish
0005181,52.51,9.04,0.81,0.66,0.85,1.16,Low
0005190,57.92,8.78,0.7,0.73,0.96,1.30,Rollish
0005208,31.47,7.01,0.49,0.39,0.43,0.64,Medium
0005217,32.81,7.62,0.61,0.41,0.46,0.67,Medium
0005226,37.22,6.74,0.39,0.47,0.54,0.78,Rollish
0005235,38.12,7.18,0.47,0.48,0.56,0.80,Rollish
0005244,43.79,7.36,0.47,0.55,0.68,0.94,Rollish
0005253,44.55,7.8,0.56,0.56,0.69,0.96,Low
0005262,50.66,7.96,0.55,0.64,0.81,1.12,Rollish
0005271,51.34,8.37,0.64,0.65,0.83,1.13,Rollish
0005280,57.62,8.55,0.64,0.73,0.95,1.29,Rollish
0005307,35.18,7.81,0.64,0.44,0.50,0.73,Medium
0005316,37.43,6.92,0.42,0.47,0.55,0.79,Rollish
0005325,38.44,7.44,0.53,0.48,0.57,0.81,Low
0005334,43.73,7.38,0.47,0.55,0.67,0.94,Rollish
0005343,44.51,7.45,0.48,0.56,0.69,0.96,Rollish
0005352,50.45,7.96,0.55,0.64,0.81,1.11,Rollish
0005361,51.02,8.05,0.57,0.64,0.82,1.13,Rollish
0005370,57.38,8.55,0.64,0.72,0.95,1.28,Rollish
0005406,38.09,7.52,0.55,0.48,0.56,0.80,Low
0005415,39.91,8.31,0.72,0.50,0.60,0.85,Medium
0005424,43.93,7.41,0.48,0.55,0.68,0.95,Rollish
0005433,44.71,7.61,0.52,0.56,0.69,0.97,Rollish
0005442,50.38,7.98,0.56,0.63,0.81,1.11,Rollish
0005451,50.95,8.04,0.57,0.64,0.82,1.12,Rollish
0005460,57.22,8.53,0.64,0.72,0.94,1.28,Rollish
0005505,42.45,8.33,0.71,0.53,0.65,0.91,Medium
0005514,44.41,7.63,0.52,0.56,0.69,0.96,Rollish
0005523,45.47,8.35,0.69,0.57,0.71,0.99,Low
0005532,50.59,8.01,0.56,0.64,0.81,1.11,Rollish
0005541,51.21,8.09,0.58,0.65,0.82,1.13,Rollish
0005550,57.21,8.53,0.64,0.72,0.94,1.28,Rollish
0005604,45.39,8.37,0.69,0.57,0.71,0.98,Low
0005613,47.42,9.07,0.86,0.60,0.75,1.04,Medium
0005622,51.04,8.08,0.58,0.64,0.82,1.13,Rollish
0005631,51.77,8.41,0.65,0.65,0.84,1.14,Rollish
0005640,57.36,8.57,0.65,0.72,0.95,1.28,Rollish
0005703,49.95,8.85,0.78,0.63,0.80,1.10,Low
0005712,51.71,8.42,0.66,0.65,0.83,1.14,Low
0005721,52.97,9.18,0.85,0.67,0.86,1.17,Low
0005730,57.73,8.64,0.66,0.73,0.95,1.29,Rollish
0005802,52.95,9.2,0.85,0.67,0.86,1.17,Low
0005811,55.12,9.7,0.97,0.70,0.90,1.23,Medium
0005820,58.3,8.77,0.69,0.74,0.97,1.31,Rollish
0005901,57.49,9.38,0.87,0.73,0.95,1.29,Low
0005910,59.15,9.21,0.81,0.75,0.98,1.33,Low
0005A00,60.62,9.95,1.01,0.77,1.01,1.37,Low
0006009,29.99,7.46,0.6,0.37,0.40,0.60,High
0006018,32.41,7.47,0.58,0.40,0.45,0.66,Medium
0006027,35.24,8.15,0.72,0.44,0.50,0.73,Medium
0006036,38.86,7.85,0.62,0.49,0.58,0.82,Medium
0006045,41.8,8.64,0.79,0.52,0.64,0.90,Medium
0006054,45.56,8.5,0.72,0.57,0.71,0.99,Medium
0006063,48.63,9.25,0.9,0.61,0.77,1.07,Medium
0006072,52.51,9.04,0.81,0.66,0.85,1.16,Low
0006081,55.6,9.76,0.99,0.70,0.91,1.24,Medium
0006090,59.49,9.57,0.9,0.75,0.99,1.34,Low
0006108,32.72,7.62,0.61,0.41,0.45,0.67,Medium
0006117,34.17,8.14,0.72,0.43,0.48,0.70,High
0006126,38.02,7.23,0.48,0.48,0.56,0.80,Low
0006135,39.77,8.14,0.68,0.50,0.60,0.84,Medium
0006144,44.52,7.8,0.56,0.56,0.69,0.96,Low
0006153,46.28,8.75,0.78,0.58,0.73,1.01,Medium
0006162,51.34,8.37,0.65,0.65,0.83,1.13,Low
0006171,53.11,9.29,0.88,0.67,0.86,1.18,Medium
0006180,58.29,8.94,0.74,0.74,0.97,1.31,Low
0006207,35.77,8.02,0.68,0.45,0.52,0.74,Medium
0006216,38.15,7.24,0.48,0.48,0.56,0.80,Low
0006225,39.25,7.95,0.64,0.49,0.59,0.83,Medium
0006234,44.31,7.49,0.49,0.56,0.69,0.96,Rollish
0006243,45.33,8.03,0.61,0.57,0.71,0.98,Low
0006252,50.97,8.04,0.57,0.64,0.82,1.12,Rollish
0006261,51.87,8.62,0.71,0.65,0.84,1.15,Low
0006270,57.88,8.61,0.65,0.73,0.96,1.30,Rollish
0006306,38.74,7.84,0.62,0.49,0.57,0.82,Medium
0006315,40.48,8.36,0.73,0.51,0.61,0.86,Medium
0006324,44.32,7.51,0.5,0.56,0.69,0.96,Rollish
0006333,45.29,7.77,0.55,0.57,0.71,0.98,Rollish
0006342,50.74,8.02,0.57,0.64,0.81,1.12,Rollish
0006351,51.53,8.18,0.6,0.65,0.83,1.14,Rollish
0006360,57.56,8.56,0.64,0.73,0.95,1.29,Rollish
0006405,42.81,8.4,0.72,0.54,0.66,0.92,Medium
0006414,44.71,7.75,0.55,0.56,0.69,0.97,Rollish
0006423,45.88,8.38,0.69,0.58,0.72,1.00,Low
0006432,50.81,8.04,0.57,0.64,0.82,1.12,Rollish
0006441,51.61,8.14,0.59,0.65,0.83,1.14,Rollish
0006450,57.41,8.55,0.64,0.73,0.95,1.29,Rollish
0006504,45.67,8.42,0.7,0.57,0.71,0.99,Low
0006513,47.64,9.07,0.86,0.60,0.75,1.04,Medium
0006522,51.17,8.11,0.58,0.65,0.82,1.13,Rollish
0006531,52,8.44,0.66,0.66,0.84,1.15,Low
0006540,57.47,8.57,0.65,0.73,0.95,1.29,Rollish
0006603,50.07,8.87,0.78,0.63,0.80,1.10,Low
0006612,51.83,8.44,0.66,0.65,0.84,1.15,Low
0006621,53.09,9.19,0.85,0.67,0.86,1.18,Low
0006630,57.8,8.63,0.66,0.73,0.96,1.30,Rollish
0006702,53.05,9.2,0.85,0.67,0.86,1.18,Low
0006711,55.19,9.68,0.97,0.70,0.90,1.23,Medium
0006720,58.35,8.77,0.69,0.74,0.97,1.31,Rollish
0006801,57.54,9.38,0.87,0.73,0.95,1.29,Low
0006810,59.19,9.21,0.8,0.75,0.98,1.33,Low
0006900,60.65,9.94,1,0.77,1.01,1.37,Low
0007008,34.17,8.14,0.72,0.43,0.48,0.70,High
0007017,36.64,8.38,0.76,0.46,0.53,0.77,Medium
0007026,39.77,8.14,0.68,0.50,0.60,0.84,Medium
0007035,42.75,8.8,0.82,0.54,0.66,0.92,Medium
0007044,46.28,8.75,0.78,0.58,0.73,1.01,Medium
0007053,49.42,9.4,0.93,0.62,0.79,1.09,Medium
0007062,53.11,9.29,0.88,0.67,0.86,1.18,Medium
0007071,56.33,9.92,1.03,0.71,0.93,1.26,Medium
0007080,60.08,9.81,0.97,0.76,1.00,1.35,Low
0007107,36.98,8.27,0.73,0.46,0.54,0.77,Medium
0007116,39.2,7.93,0.63,0.49,0.58,0.83,Medium
0007125,41.07,8.69,0.81,0.52,0.62,0.88,Medium
0007134,45.28,8.05,0.61,0.57,0.71,0.98,Low
0007143,47.28,8.96,0.83,0.60,0.75,1.03,Medium
0007152,51.86,8.62,0.71,0.65,0.84,1.15,Low
0007161,53.91,9.55,0.94,0.68,0.88,1.20,Medium
0007170,58.75,9.15,0.79,0.74,0.98,1.32,Low
0007206,39.91,8.31,0.72,0.50,0.60,0.85,Medium
0007215,41.34,8.71,0.81,0.52,0.63,0.88,Medium
0007224,45.05,7.77,0.55,0.57,0.70,0.98,Rollish
0007233,46.27,8.41,0.69,0.58,0.73,1.01,Low
0007242,51.42,8.19,0.6,0.65,0.83,1.14,Rollish
0007251,52.56,8.85,0.76,0.66,0.85,1.16,Low
0007260,58.17,8.71,0.68,0.74,0.96,1.30,Rollish
0007305,43.39,8.61,0.77,0.55,0.67,0.93,Medium
0007314,45.31,8.01,0.61,0.57,0.71,0.98,Low
0007323,46.57,8.55,0.73,0.59,0.73,1.01,Low
0007332,51.29,8.13,0.59,0.65,0.83,1.13,Rollish
0007341,52.28,8.37,0.64,0.66,0.85,1.16,Rollish
0007350,57.85,8.61,0.66,0.73,0.96,1.30,Rollish
0007404,46.18,8.61,0.75,0.58,0.72,1.00,Medium
0007413,48.09,9.11,0.87,0.61,0.76,1.05,Medium
0007422,51.48,8.21,0.6,0.65,0.83,1.14,Rollish
0007431,52.48,8.52,0.67,0.66,0.85,1.16,Low
0007440,57.74,8.62,0.66,0.73,0.95,1.29,Rollish
0007503,50.36,8.94,0.8,0.63,0.81,1.11,Low
0007512,52.07,8.53,0.68,0.66,0.84,1.15,Low
0007521,53.39,9.22,0.85,0.67,0.87,1.18,Low
0007530,57.96,8.65,0.66,0.73,0.96,1.30,Rollish
0007602,53.28,9.24,0.86,0.67,0.87,1.18,Low
0007611,55.35,9.7,0.97,0.70,0.91,1.23,Medium
0007620,58.47,8.78,0.7,0.74,0.97,1.31,Rollish
0007701,57.65,9.4,0.87,0.73,0.95,1.29,Low
0007710,59.29,9.22,0.81,0.75,0.99,1.33,Low
0007800,60.73,9.94,1,0.77,1.01,1.37,Low
0008007,38.7,8.55,0.79,0.48,0.57,0.82,Medium
0008016,41.07,8.69,0.81,0.52,0.62,0.88,Medium
0008025,43.94,9.06,0.88,0.55,0.68,0.95,Medium
0008034,47.28,8.96,0.83,0.60,0.75,1.03,Medium
0008043,50.36,9.54,0.97,0.63,0.81,1.11,Medium
0008052,53.91,9.55,0.94,0.68,0.88,1.20,Medium
0008061,57.15,10.1,1.08,0.72,0.94,1.28,Medium
0008070,60.82,10.05,1.03,0.77,1.02,1.37,Medium
0008106,41.3,8.72,0.81,0.52,0.63,0.88,Medium
0008115,42.97,9.12,0.91,0.54,0.66,0.92,Medium
0008124,46.21,8.45,0.71,0.58,0.72,1.01,Low
0008133,48.33,9.25,0.9,0.61,0.77,1.06,Medium
0008142,52.53,8.86,0.76,0.66,0.85,1.16,Low
0008151,54.73,9.76,1,0.69,0.89,1.22,Medium
0008160,59.25,9.37,0.85,0.75,0.99,1.33,Low
0008205,44.23,8.9,0.84,0.56,0.68,0.96,Medium
0008214,46.31,8.45,0.71,0.58,0.73,1.01,Low
0008223,47.7,9.11,0.87,0.60,0.75,1.04,Medium
0008232,52.12,8.42,0.65,0.66,0.84,1.15,Rollish
0008241,53.48,9.11,0.82,0.67,0.87,1.19,Low
0008250,58.6,8.87,0.72,0.74,0.97,1.32,Rollish
0008304,47.08,8.99,0.84,0.59,0.74,1.03,Medium
0008313,48.82,9.28,0.91,0.61,0.78,1.07,Medium
0008322,52.09,8.42,0.65,0.66,0.84,1.15,Rollish
0008331,53.28,8.83,0.75,0.67,0.87,1.18,Low
0008340,58.3,8.74,0.69,0.74,0.97,1.31,Rollish
0008403,50.88,9.13,0.85,0.64,0.82,1.12,Medium
0008412,52.56,8.75,0.73,0.66,0.85,1.16,Low
0008421,53.95,9.31,0.87,0.68,0.88,1.20,Low
0008430,58.33,8.74,0.69,0.74,0.97,1.31,Rollish
0008502,53.7,9.36,0.89,0.68,0.87,1.19,Medium
0008511,55.7,9.75,0.99,0.70,0.91,1.24,Medium
0008520,58.71,8.87,0.72,0.74,0.97,1.32,Rollish
0008601,57.88,9.47,0.89,0.73,0.96,1.30,Low
0008610,59.5,9.28,0.82,0.75,0.99,1.34,Low
0008700,60.91,9.97,1.01,0.77,1.02,1.37,Low
0009006,42.97,9.12,0.91,0.54,0.66,0.92,Medium
0009015,45.38,9.29,0.94,0.57,0.71,0.98,Medium
0009024,48.33,9.25,0.9,0.61,0.77,1.06,Medium
0009033,51.35,9.71,1.01,0.65,0.83,1.13,Medium
0009042,54.73,9.76,1,0.69,0.89,1.22,Medium
0009051,57.94,10.25,1.12,0.73,0.96,1.30,Medium
0009060,61.5,10.27,1.1,0.78,1.03,1.39,Medium
0009105,45.59,9.2,0.91,0.57,0.71,0.99,Medium
0009114,47.67,9.11,0.87,0.60,0.75,1.04,Medium
0009123,49.75,9.69,1.02,0.63,0.80,1.09,Medium
0009132,53.44,9.13,0.83,0.67,0.87,1.19,Low
0009141,55.75,9.95,1.04,0.70,0.92,1.24,Medium
0009150,59.9,9.63,0.92,0.76,1.00,1.35,Low
0009204,48.45,9.39,0.94,0.61,0.77,1.06,Medium
0009213,49.92,9.63,1,0.63,0.80,1.10,Medium
0009222,53.08,8.84,0.75,0.67,0.86,1.18,Low
0009231,54.61,9.52,0.93,0.69,0.89,1.22,Medium
0009240,59.22,9.09,0.77,0.75,0.98,1.33,Low
0009303,51.65,9.45,0.93,0.65,0.83,1.14,Medium
0009312,53.4,9.1,0.82,0.67,0.87,1.19,Low
0009321,54.84,9.58,0.94,0.69,0.90,1.22,Medium
0009330,59.01,8.95,0.73,0.75,0.98,1.33,Rollish
0009402,54.42,9.62,0.96,0.69,0.89,1.21,Medium
0009411,56.3,9.88,1.02,0.71,0.93,1.26,Medium
0009420,59.21,9.06,0.76,0.75,0.98,1.33,Low
0009501,58.32,9.64,0.93,0.74,0.97,1.31,Low
0009510,59.9,9.44,0.86,0.76,1.00,1.35,Low
0009600,61.27,10.05,1.03,0.77,1.03,1.38,Medium
000A005,47.4,9.47,0.97,0.60,0.75,1.04,Medium
000A014,49.75,9.69,1.02,0.63,0.80,1.09,Medium
000A023,52.59,9.91,1.06,0.66,0.85,1.16,Medium
000A032,55.75,9.95,1.04,0.70,0.92,1.24,Medium
000A041,58.89,10.38,1.15,0.74,0.98,1.32,Medium
000A050,62.31,10.49,1.16,0.79,1.05,1.41,Medium
000A104,49.89,9.65,1,0.63,0.80,1.10,Medium
000A113,51.69,9.98,1.08,0.65,0.83,1.14,Medium
000A122,54.57,9.55,0.94,0.69,0.89,1.21,Medium
000A131,56.9,10.22,1.12,0.72,0.94,1.27,Medium
000A140,60.71,9.86,0.98,0.77,1.01,1.37,Low
000A203,52.7,9.76,1.01,0.66,0.85,1.17,Medium
000A212,54.63,9.56,0.94,0.69,0.89,1.22,Medium
000A221,56.23,10.11,1.09,0.71,0.92,1.26,Medium
000A230,60.1,9.37,0.84,0.76,1.00,1.35,Low
000A302,55.54,9.98,1.05,0.70,0.91,1.24,Medium
000A311,57.21,10.11,1.08,0.72,0.94,1.28,Medium
000A320,60.04,9.38,0.84,0.76,1.00,1.35,Low
000A401,59.03,9.92,1.01,0.75,0.98,1.33,Medium
000A410,60.59,9.73,0.94,0.77,1.01,1.36,Low
000A500,61.85,10.23,1.08,0.78,1.04,1.40,Medium
000B004,51.69,9.98,1.08,0.65,0.83,1.14,Medium
000B013,54.08,10.12,1.11,0.68,0.88,1.20,Medium
000B022,56.9,10.22,1.12,0.72,0.94,1.27,Medium
000B031,59.93,10.53,1.19,0.76,1.00,1.35,Medium
000B040,63.19,10.66,1.21,0.80,1.06,1.43,Medium
000B103,54.2,10.07,1.09,0.68,0.88,1.21,Medium
000B112,56.21,10.11,1.09,0.71,0.92,1.26,Medium
000B121,58.42,10.54,1.2,0.74,0.97,1.31,Medium
000B130,61.74,10.14,1.05,0.78,1.03,1.39,Medium
000B202,57.02,10.2,1.11,0.72,0.94,1.28,Medium
000B211,58.5,10.47,1.18,0.74,0.97,1.31,Medium
000B220,61.28,9.88,0.98,0.78,1.03,1.38,Low
000B301,59.98,10.28,1.11,0.76,1.00,1.35,Medium
000B310,61.66,10.11,1.05,0.78,1.03,1.39,Medium
000B400,62.76,10.53,1.17,0.79,1.06,1.42,Medium
000C003,56.07,10.33,1.16,0.71,0.92,1.25,Medium
000C012,58.42,10.54,1.2,0.74,0.97,1.31,Medium
000C021,61.2,10.71,1.24,0.77,1.02,1.38,Medium
000C030,64.26,10.83,1.25,0.81,1.09,1.46,Medium
000C102,58.48,10.48,1.18,0.74,0.97,1.31,Medium
000C111,60.37,10.76,1.26,0.76,1.01,1.36,Medium
000C120,63.03,10.54,1.17,0.80,1.06,1.43,Medium
000C201,61.21,10.59,1.2,0.77,1.02,1.38,Medium
000C210,63.07,10.52,1.16,0.80,1.06,1.43,Medium
000C300,64.04,10.83,1.25,0.81,1.08,1.45,Medium
000D002,60.37,10.76,1.26,0.76,1.01,1.36,Medium
000D011,62.74,10.91,1.29,0.79,1.05,1.42,Medium
000D020,65.5,11.06,1.32,0.83,1.11,1.49,Medium
000D101,62.81,10.86,1.27,0.79,1.06,1.42,Medium
000D110,64.79,10.98,1.3,0.82,1.10,1.47,Medium
000D200,65.53,10.97,1.29,0.83,1.11,1.49,Medium
000E001,64.72,11.11,1.34,0.82,1.09,1.47,Medium
000E010,67.07,11.3,1.39,0.85,1.14,1.53,Medium
000E100,67.08,11.24,1.37,0.85,1.14,1.53,Medium
000F000,69.03,11.48,1.43,0.87,1.18,1.58,Medium
001000E,8.62,2.83,0.05,0.10,-0.03,0.07,Rollish
001001D,9.75,3.95,0.16,0.11,-0.01,0.09,High
001002C,15.2,4,0.12,0.18,0.10,0.23,Rollish
001003B,16.79,4.84,0.22,0.20,0.14,0.27,Medium
001004A,22.03,5.07,0.21,0.27,0.24,0.40,Rollish
0010059,23.6,5.87,0.33,0.29,0.27,0.44,Medium
0010068,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0010077,30.61,6.61,0.41,0.38,0.41,0.62,Low
0010086,36,6.7,0.39,0.45,0.52,0.75,Rollish
0010095,37.6,7.31,0.5,0.47,0.55,0.79,Low
00100A4,43,7.38,0.48,0.54,0.66,0.93,Rollish
00100B3,44.6,7.93,0.59,0.56,0.69,0.97,Low
00100C2,50,8,0.56,0.63,0.80,1.10,Rollish
00100D1,51.6,8.51,0.68,0.65,0.83,1.14,Low
00100E0,57,8.57,0.65,0.72,0.94,1.28,Rollish
001010D,11.12,4.61,0.23,0.13,0.02,0.13,High
001011C,15.22,4.03,0.12,0.18,0.10,0.23,Rollish
001012B,16.51,4.61,0.19,0.20,0.13,0.26,Rollish
001013A,22.07,5.05,0.21,0.27,0.24,0.40,Rollish
0010149,23.38,5.61,0.29,0.29,0.27,0.43,Medium
0010158,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0010167,30.3,6.42,0.38,0.38,0.41,0.61,Low
0010176,36,6.7,0.39,0.45,0.52,0.75,Rollish
0010185,37.3,7.13,0.47,0.47,0.55,0.78,Low
0010194,43,7.38,0.48,0.54,0.66,0.93,Rollish
00101A3,44.29,7.77,0.56,0.56,0.69,0.96,Low
00101B2,50,8,0.56,0.63,0.80,1.10,Rollish
00101C1,51.29,8.36,0.64,0.65,0.83,1.13,Rollish
00101D0,57,8.57,0.65,0.72,0.94,1.28,Rollish
001020C,15.43,4.29,0.15,0.19,0.11,0.24,Rollish
001021B,17.01,5.01,0.24,0.21,0.14,0.28,Medium
001022A,22.16,5.03,0.2,0.27,0.24,0.40,Rollish
0010239,23.6,5.48,0.26,0.29,0.27,0.44,Rollish
0010248,29.02,5.95,0.3,0.36,0.38,0.58,Rollish
0010257,30.32,6.4,0.38,0.38,0.41,0.61,Low
0010266,36.01,6.7,0.39,0.45,0.52,0.75,Rollish
0010275,37.29,7.11,0.46,0.47,0.55,0.78,Rollish
0010284,43,7.38,0.48,0.54,0.66,0.93,Rollish
0010293,44.28,7.76,0.55,0.56,0.69,0.96,Rollish
00102A2,50,8,0.56,0.63,0.80,1.10,Rollish
00102B1,51.27,8.35,0.64,0.65,0.83,1.13,Rollish
00102C0,57,8.57,0.65,0.72,0.94,1.28,Rollish
001030B,19.21,6.04,0.4,0.23,0.18,0.33,High
001031A,22.44,5.02,0.2,0.28,0.25,0.41,Rollish
0010329,23.74,5.62,0.29,0.29,0.27,0.44,Rollish
0010338,29.12,5.92,0.3,0.36,0.38,0.58,Rollish
0010347,30.5,6.36,0.37,0.38,0.41,0.61,Rollish
0010356,36.02,6.69,0.39,0.45,0.52,0.75,Rollish
0010365,37.3,7.11,0.46,0.47,0.55,0.78,Rollish
0010374,43.01,7.37,0.48,0.54,0.66,0.93,Rollish
